id,prediction
0,0.69720775
1,0.8834552
2,0.36357608
3,0.7312739
4,0.18756409
5,0.797015
6,0.021568669
7,0.11396631
8,0.114834994
9,0.1267106
10,0.53206205
11,0.4160783
12,0.8331623
13,0.35697275
14,0.7856429
15,0.85701853
16,0.15086538
17,0.9113608
18,0.78732187
19,0.1584405
20,0.85945785
21,0.72737557
22,0.51795644
23,0.104106516
24,0.14769144
25,0.58507025
26,0.7302309
27,0.81909955
28,0.43460682
29,0.68117744
30,0.73778844
31,0.698272
32,0.8261005
33,0.036461193
34,0.6974703
35,0.8472916
36,0.20931086
37,0.7705599
38,0.4597227
39,0.15336768
40,0.5193487
41,0.2510607
42,0.113447286
43,0.4816198
44,0.7783758
45,0.77020586
46,0.65338606
47,0.17946517
48,0.70663166
49,0.75416815
50,0.5437555
51,0.28109536
52,0.41878054
53,0.084502324
54,0.30279678
55,0.6597054
56,0.64916945
57,0.9000307
58,0.0266137
59,0.26586035
60,0.8921808
61,0.9381932
62,0.6601867
63,0.26868343
64,0.189473
65,0.15299508
66,0.87256193
67,0.28462866
68,0.36463875
69,0.42149845
70,0.76413244
71,0.64903355
72,0.038181305
73,0.2840429
74,0.6427951
75,0.7654627
76,0.101489045
77,0.68030053
78,0.3940445
79,0.79303104
80,0.24937062
81,0.43183345
82,0.32580498
83,0.5423806
84,0.4441787
85,0.32767287
86,0.40037084
87,0.1807526
88,0.6290629
89,0.16334312
90,0.44994083
91,0.05182064
92,0.27888614
93,0.6313677
94,0.7594855
95,0.76104426
96,0.07454425
97,0.66543216
98,0.72657394
99,0.8329229
100,0.53809845
101,0.1331278
102,0.8556392
103,0.19048291
104,0.30239096
105,0.78646886
106,0.7019434
107,0.86932796
108,0.065360576
109,0.3907849
110,0.71964496
111,0.8335491
112,0.13357678
113,0.14648513
114,0.16940033
115,0.78343314
116,0.8610206
117,0.20764804
118,0.6993201
119,0.3188531
120,0.4915717
121,0.78805155
122,0.9336235
123,0.067266226
124,0.014942482
125,0.2466672
126,0.799153
127,0.16567156
128,0.6748799
129,0.1743768
130,0.9167532
131,0.54900026
132,0.74369186
133,0.10364954
134,0.7581812
135,0.7108812
136,0.27829215
137,0.8406991
138,0.48771963
139,0.93444884
140,0.7021522
141,0.87609804
142,0.06330165
143,0.66103303
144,0.74485445
145,0.16465454
146,0.62539244
147,0.8163633
148,0.21397541
149,0.81169665
150,0.24661046
151,0.29165334
152,0.87312955
153,0.07861279
154,0.12088781
155,0.5304021
156,0.16954246
157,0.41417652
158,0.6746941
159,0.2110094
160,0.60400015
161,0.14688775
162,0.84187335
163,0.21314101
164,0.5251955
165,0.57287514
166,0.04371059
167,0.35620907
168,0.78871405
169,0.38369447
170,0.79641753
171,0.57354605
172,0.5508297
173,0.04532428
174,0.21070805
175,0.85715806
176,0.8497854
177,0.17714894
178,0.18012103
179,0.15585728
180,0.4628101
181,0.15020247
182,0.51793516
183,0.10584948
184,0.67880857
185,0.8429631
186,0.6972914
187,0.6655356
188,0.72140807
189,0.24213584
190,0.35824
191,0.13638495
192,0.53114825
193,0.6309627
194,0.8049989
195,0.6731893
196,0.8575708
197,0.68919677
198,0.9111876
199,0.18940371
200,0.77565664
201,0.41660225
202,0.2525857
203,0.6702136
204,0.52453893
205,0.83627343
206,0.021779718
207,0.16477577
208,0.5072833
209,0.024555258
210,0.16859008
211,0.63475657
212,0.26677582
213,0.16447544
214,0.15225193
215,0.76074845
216,0.72381115
217,0.7014557
218,0.74651545
219,0.7603017
220,0.756943
221,0.57069564
222,0.24917676
223,0.9004855
224,0.88610005
225,0.49232388
226,0.77024055
227,0.04016886
228,0.31143475
229,0.1924588
230,0.18520683
231,0.42679262
232,0.5109603
233,0.68567127
234,0.7156175
235,0.7958908
236,0.421857
237,0.14914097
238,0.13733366
239,0.67850816
240,0.5777876
241,0.68748295
242,0.21497539
243,0.86659265
244,0.8490515
245,0.84282494
246,0.209029
247,0.6192761
248,0.32048014
249,0.08237964
250,0.43208113
251,0.88501525
252,0.75419223
253,0.7526258
254,0.31832677
255,0.12983488
256,0.5933534
257,0.8047713
258,0.06514728
259,0.73851717
260,0.021692459
261,0.75245154
262,0.018738963
263,0.087950006
264,0.1814282
265,0.14329706
266,0.863958
267,0.7626201
268,0.19714122
269,0.03608732
270,0.16311789
271,0.20172006
272,0.37174797
273,0.8418207
274,0.73468775
275,0.19755296
276,0.77810395
277,0.06937365
278,0.56495434
279,0.8630958
280,0.62259156
281,0.7843453
282,0.68377244
283,0.8936705
284,0.60017526
285,0.115166344
286,0.09284745
287,0.38123077
288,0.7609605
289,0.6921234
290,0.5883024
291,0.14270006
292,0.10573841
293,0.041686386
294,0.28223616
295,0.083391994
296,0.48816308
297,0.82924277
298,0.5644552
299,0.5944658
300,0.5799318
301,0.5291036
302,0.09383372
303,0.78872603
304,0.54798186
305,0.10988392
306,0.72903645
307,0.9431767
308,0.12268532
309,0.78404915
310,0.09883562
311,0.045843128
312,0.6495892
313,0.21839233
314,0.40389422
315,0.82352406
316,0.9165834
317,0.6183805
318,0.11220129
319,0.46791354
320,0.656092
321,0.59149176
322,0.70739627
323,0.22868147
324,0.44710362
325,0.09828271
326,0.8924488
327,0.08522295
328,0.61661243
329,0.6565144
330,0.8718658
331,0.07048529
332,0.2764323
333,0.30941406
334,0.8687244
335,0.72913784
336,0.09091289
337,0.6764139
338,0.7760482
339,0.59535754
340,0.82586753
341,0.43005562
342,0.6222165
343,0.17623384
344,0.43400463
345,0.88550025
346,0.49029687
347,0.15423687
348,0.7380103
349,0.8427522
350,0.5861263
351,0.50691193
352,0.40146232
353,0.8241447
354,0.712977
355,0.7183229
356,0.63670224
357,0.112199895
358,0.30739704
359,0.55918634
360,0.5977158
361,0.2096524
362,0.11306884
363,0.6963111
364,0.14543274
365,0.6749731
366,0.47904113
367,0.18039466
368,0.14651847
369,0.16638617
370,0.42344987
371,0.7643443
372,0.8208463
373,0.9004752
374,0.17399238
375,0.68972397
376,0.68940794
377,0.46605948
378,0.7882196
379,0.22031546
380,0.14331563
381,0.81276757
382,0.82851243
383,0.19918154
384,0.2182842
385,0.20669897
386,0.14355575
387,0.8088891
388,0.9239559
389,0.6631546
390,0.4864495
391,0.21310885
392,0.19821694
393,0.5190287
394,0.7797289
395,0.07609785
396,0.91360843
397,0.7531027
398,0.21820973
399,0.07934288
400,0.90498537
401,0.87367344
402,0.58443695
403,0.1312363
404,0.16239332
405,0.763304
406,0.87792134
407,0.098155044
408,0.18813638
409,0.08110738
410,0.68513435
411,0.054180544
412,0.3112439
413,0.538962
414,0.2613746
415,0.39459342
416,0.8037198
417,0.48647052
418,0.7440674
419,0.6731163
420,0.6866908
421,0.6819609
422,0.19325101
423,0.3100518
424,0.7873624
425,0.05592964
426,0.62043595
427,0.5082548
428,0.69338024
429,0.59094155
430,0.8004178
431,0.18289219
432,0.79962254
433,0.79844177
434,0.6790544
435,0.755256
436,0.12311694
437,0.10713279
438,0.81677777
439,0.48302144
440,0.13252456
441,0.3445188
442,0.13057818
443,0.92768455
444,0.21429074
445,0.69194454
446,0.12165369
447,0.8542708
448,0.24941409
449,0.19382305
450,0.7421669
451,0.65264505
452,0.38142297
453,0.21443205
454,0.36483106
455,0.3629738
456,0.7441474
457,0.80113906
458,0.75966716
459,0.21819219
460,0.57413113
461,0.9359714
462,0.2733011
463,0.8284301
464,0.6072129
465,0.7155967
466,0.8610505
467,0.057979196
468,0.24807194
469,0.66210085
470,0.013108182
471,0.02875456
472,0.4357772
473,0.11979936
474,0.4638862
475,0.615859
476,0.4254353
477,0.27044123
478,0.8120748
479,0.79335666
480,0.6399171
481,0.7540257
482,0.067378744
483,0.12992483
484,0.88982856
485,0.1644361
486,0.43069896
487,0.031236233
488,0.095938645
489,0.03062915
490,0.12739843
491,0.40415543
492,0.652731
493,0.11639116
494,0.5235293
495,0.019147238
496,0.18319054
497,0.2854426
498,0.13965164
499,0.8303786
500,0.73426604
501,0.677804
502,0.09929256
503,0.14964607
504,0.6532079
505,0.62854594
506,0.8224825
507,0.75352615
508,0.7095887
509,0.13075586
510,0.5973326
511,0.19316551
512,0.67771214
513,0.7489424
514,0.66272503
515,0.6412557
516,0.85205036
517,0.13020572
518,0.35894212
519,0.6653136
520,0.8034639
521,0.74222916
522,0.7907314
523,0.38042694
524,0.8196669
525,0.17444539
526,0.70447963
527,0.54573303
528,0.82033664
529,0.60963476
530,0.76060885
531,0.19378021
532,0.17204198
533,0.22593728
534,0.10583165
535,0.588089
536,0.7476458
537,0.765421
538,0.011646422
539,0.46153107
540,0.9332927
541,0.850653
542,0.87687814
543,0.69089365
544,0.5778066
545,0.7952383
546,0.6963696
547,0.83675987
548,0.7164561
549,0.6264393
550,0.7533056
551,0.5861139
552,0.023173915
553,0.4461217
554,0.17812708
555,0.26767766
556,0.5675414
557,0.53964114
558,0.7319024
559,0.5635379
560,0.6352491
561,0.76968753
562,0.66579103
563,0.03306436
564,0.22474004
565,0.7078178
566,0.022382464
567,0.83751804
568,0.24373919
569,0.3706081
570,0.061343636
571,0.6337701
572,0.033330426
573,0.41855112
574,0.31788847
575,0.14607278
576,0.10831321
577,0.6638791
578,0.6171292
579,0.79992044
580,0.6910819
581,0.84699994
582,0.8941688
583,0.03532798
584,0.22574873
585,0.43116504
586,0.74707687
587,0.61650354
588,0.4990959
589,0.4970874
590,0.11887825
591,0.7721452
592,0.32675076
593,0.37598234
594,0.18502851
595,0.23898503
596,0.83226657
597,0.61514753
598,0.037871752
599,0.63588625
600,0.9057137
601,0.028768588
602,0.8216852
603,0.21843985
604,0.8891136
605,0.6225116
606,0.63645005
607,0.73358786
608,0.33141077
609,0.71807194
610,0.52492166
611,0.29887462
612,0.9036848
613,0.08633603
614,0.1326891
615,0.76792747
616,0.8841964
617,0.046466794
618,0.5094273
619,0.01718076
620,0.14606045
621,0.037130877
622,0.022191517
623,0.049193434
624,0.3207435
625,0.025493748
626,0.38012505
627,0.7690209
628,0.10748182
629,0.6638269
630,0.04667421
631,0.6935414
632,0.55954844
633,0.8459676
634,0.5496093
635,0.023171747
636,0.69377106
637,0.26379073
638,0.6832619
639,0.40921357
640,0.75158167
641,0.80446136
642,0.017113632
643,0.22956932
644,0.12531808
645,0.5239326
646,0.094304465
647,0.7606776
648,0.3990463
649,0.34571296
650,0.06221324
651,0.46040618
652,0.90609837
653,0.7287361
654,0.11277242
655,0.49725464
656,0.43649963
657,0.7417155
658,0.5058097
659,0.4079936
660,0.09946195
661,0.8247865
662,0.69501144
663,0.16534926
664,0.7782174
665,0.5168361
666,0.5534728
667,0.53528094
668,0.34533447
669,0.5569528
670,0.25739527
671,0.03798837
672,0.84171724
673,0.4545391
674,0.035093863
675,0.93055135
676,0.014692406
677,0.82492316
678,0.39801735
679,0.6477193
680,0.09924197
681,0.81727135
682,0.5744158
683,0.7946194
684,0.7621063
685,0.6737024
686,0.62543887
687,0.7072621
688,0.77130234
689,0.8519698
690,0.7073631
691,0.3072473
692,0.6735107
693,0.7424807
694,0.78959686
695,0.09577645
696,0.1592245
697,0.035647433
698,0.2614461
699,0.7316749
700,0.46343428
701,0.9039161
702,0.8822682
703,0.73411417
704,0.02945007
705,0.024207199
706,0.016699338
707,0.79698294
708,0.060367584
709,0.15070814
710,0.69904464
711,0.29990757
712,0.7753936
713,0.3565293
714,0.012154662
715,0.6570673
716,0.83253145
717,0.70100385
718,0.6953335
719,0.5945474
720,0.6226525
721,0.37225756
722,0.1193505
723,0.7639648
724,0.579987
725,0.7221217
726,0.12350169
727,0.022454107
728,0.8965916
729,0.053524163
730,0.899744
731,0.09288253
732,0.6034698
733,0.70488673
734,0.4102541
735,0.5982999
736,0.7558596
737,0.3121763
738,0.59627694
739,0.041131
740,0.67258376
741,0.69558805
742,0.52936524
743,0.8322895
